attack,epsilon,accuracy
clean,0.0,0.9511278195488722
FGSM,0.00784313725490196,0.3132832080200501
PGD-20,0.00784313725490196,0.016290726817042606
FGSM,0.01568627450980392,0.3032581453634085
PGD-20,0.01568627450980392,0.015037593984962405
FGSM,0.03137254901960784,0.29448621553884713
PGD-20,0.03137254901960784,0.015037593984962405
CW-L2,,0.016290726817042606
